year,semester,entry_status,time_to_grad,count,ethnicity,gender,residency,college
1983,Fall,New Freshmen,2,1,Chinese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,2.5,1,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,2.5,1,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3,2,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,Chinese,Male,Resident,NA
1983,Fall,New Freshmen,3,2,International,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,3,5,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,Japanese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,Mexican American/Chicano,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,White,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,White,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,3,5,White,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3,1,White,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,3,10,White,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,Chinese,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,3.5,2,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,Chinese,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,3.5,2,Chinese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,3.5,1,Chinese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,2,International,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,International,Female,Nonresident,NA
1983,Fall,New Freshmen,3.5,1,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,3.5,2,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,Japanese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,Japanese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,Other Hispanic/Latino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,1,White,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,14,White,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,2,White,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,3.5,2,White,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,3.5,6,White,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,9,African American/Black,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,African American/Black,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,1,African American/Black,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,2,African American/Black,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,Chinese,Female,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,8,Chinese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Chinese,Female,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4,3,Chinese,Female,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,4,Chinese,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,71,Chinese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Chinese,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,1,Chinese,Female,Resident,NA
1983,Fall,New Freshmen,4,1,Chinese,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Chinese,Male,Nonresident,Clg of Environmental Design
1983,Fall,New Freshmen,4,1,Chinese,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,Chinese,Male,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4,3,Chinese,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,21,Chinese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,41,Chinese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Chinese,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,2,Decline to State,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Decline to State,Female,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,2,Decline to State,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,3,Filipino,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Filipino,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,14,Filipino,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Filipino,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Filipino,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,Filipino,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Filipino,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4,5,Filipino,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,International,Female,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,8,International,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,International,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,1,International,Male,Nonresident,Clg of Environmental Design
1983,Fall,New Freshmen,4,9,International,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,2,International,Male,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4,3,Japanese,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,21,Japanese,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Japanese,Male,Nonresident,Clg of Chemistry
1983,Fall,New Freshmen,4,3,Japanese,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,2,Japanese,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Japanese,Male,Nonresident,Clg of Natural Resources
1983,Fall,New Freshmen,4,1,Japanese,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,3,Japanese,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,14,Japanese,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Japanese,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,2,Korean,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,18,Korean,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Korean,Male,Nonresident,NA
1983,Fall,New Freshmen,4,2,Korean,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,9,Korean,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Mexican American/Chicano,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,8,Mexican American/Chicano,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Mexican American/Chicano,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,5,Mexican American/Chicano,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Native American/Alaska Native,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Other,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,10,Other,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,6,Other,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,1,Other,Male,Resident,Clg of Environmental Design
1983,Fall,New Freshmen,4,7,Other,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other,Male,Resident,Clg of Natural Resources
1983,Fall,New Freshmen,4,1,Other Asian,Female,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,6,Other Asian,Female,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other Asian,Male,Nonresident,Clg of Engineering
1983,Fall,New Freshmen,4,2,Other Asian,Male,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other Asian,Male,Resident,Clg of Chemistry
1983,Fall,New Freshmen,4,1,Other Asian,Male,Resident,Clg of Engineering
1983,Fall,New Freshmen,4,5,Other Asian,Male,Resident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other Hispanic/Latino,Female,Nonresident,Clg of Letters & Science
1983,Fall,New Freshmen,4,1,Other Hispanic/Latino,Female,Resident,Clg of Environmental Design
